filename,iati-activity/iati-identifier[1],iati-activity/transaction/receiver-org,iati-activity/transaction/receiver-org@receiver-activity-id,iati-activity/transaction/receiver-org@ref,iati-activity/transaction/receiver-org@type,iati-activity/transaction/receiver-org/narrative[1],iati-activity/transaction/receiver-org/narrative[1]@{http://www.w3.org/XML/1998/namespace}lang
drc-activities,DK-CVR-20699310-DF19726,"
        ",DK-CVR-20699310-DF16726,DK-CVR-20699310,21,Danish Refugee Council,en
drc-activities,DK-CVR-20699310-DF19726,,,,,,
drc-activities,DK-CVR-20699310-DF19726,,,,,,
drc-activities,DK-CVR-20699310-DF19726,,,,,,
drc-activities,DK-CVR-20699310-DF19726,,,,,,
drc-activities,DK-CVR-20699310-DF19726,,,,,,
drc-activities,DK-CVR-20699310-DF19726,,,,,,
drc-activities,DK-CVR-20699310-DF19726,,,,,,
drc-activities,DK-CVR-20699310-DF19726,,,,,,
drc-activities,DK-CVR-20699310-DF19726,,,,,,
drc-activities,DK-CVR-20699310-DK19938,"
        ",,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DK19938,"
        ",DK-CVR-20699310-DK21649,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DK19938,"
        ",DK-CVR-20699310-DK21649,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DK19938,"
        ",DK-CVR-20699310-DK21649,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DK19938,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DK19938,"
        ",DK-CVR-20699310-DK21649,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DK19938,"
        ",DK-CVR-20699310-DK21649,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DK19938,"
        ",DK-CVR-20699310-DK21649,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DK19938,"
        ",DK-CVR-20699310-DK21649,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DK19938,"
        ",DK-CVR-20699310-DK21649,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DK19938,"
        ",DK-CVR-20699310-DK21649,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DK19938,"
        ",DK-CVR-20699310-DK21649,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DK19938,"
        ",DK-CVR-20699310-DK21649,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DK2112467,"
        ",DK-CVR-20699310-DK21648,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DK2112467,"
        ",DK-CVR-20699310-DK2168,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DK2112467,"
        ",DK-CVR-20699310-DK21648,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DK2112467,"
        ",DK-CVR-20699310-DK21648,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DK2112467,"
        ",DK-CVR-20699310-DK21648,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DK2112467,"
        ",DK-CVR-20699310-DK2112467,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DK2112467,"
        ",DK-CVR-20699310-DK21648,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DK2112467,"
        ",DK-CVR-20699310-DK21648,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DF2055,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DF2055,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DF2055,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DF2055,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DF2055,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DF2055,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DF2055,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DF2055,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DF2055,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DF2055,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DF2055,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DF2055,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DF2055,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DF2055,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DF2055,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DF2055,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DF2055,,,,,,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,,,Atlas,
drc-activities,DK-CVR-20699310-DF21849,"
        ",DK-CVR-20699310-DF21849,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,,,Evidence Aid,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,GB-CHC-1148404,21,Internews,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,,21,Field Ready,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,GB-CHC-1076235,21,BBC Media Action,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,,,Atlas,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,NO-BRC-977538319,21,Norwegian Refugee Council /ACAPS,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,NO-BRC-977538319,21,Norwegian Refugee Council/ACAPS,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,,21,TWB,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,,21,TWB,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,,,HOT,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,,,HOT,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,GB-CHC-1178168,21,CDAC,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,GB-CHC-1178168,21,CDAC,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,,,Insecurity Insight,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,,,TWB,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,,,TWB,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,GB-CHC-1148404,21,Internews,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,GB-CHC-1148404,21,Internews,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,,,HOT,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,,,HOT,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,,21,The New Humanitarian,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,,,The New Humanitarian,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,,21,The New Humanitarian,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,,21,The New Humanitarian,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,,21,Ground Truth Solutions,
drc-activities,DK-CVR-20699310-DF21849,"
        ",GB-CHC-1178168-CDAC_BURKINA_1,GB-CHC-1178168,21,CDAC,
drc-activities,DK-CVR-20699310-DF21849,"
        ",GB-CHC-1178168-CDAC_BURKINA_1,GB-CHC-1178168,21,CDAC,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,,21,IMMAP,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,,,Sphere,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,,,Sphere,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,,21,The New Humanitarian,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,,,iMMAP,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,GB-CHC-1076235,21,CDAC,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,,,Sphere,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,,21,Ground Truth Solutions,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,,21,The New Humanitarian,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,,21,TWB,
drc-activities,DK-CVR-20699310-DF21849,"
        ",,GB-CHC-1178168,21,CDAC,
drc-activities,DK-CVR-20699310-DF21849,,,,,,
drc-activities,DK-CVR-20699310-DF21849,,,,,,
drc-activities,DK-CVR-20699310-DF21849,,,,,,
drc-activities,DK-CVR-20699310-DF21849,,,,,,
drc-activities,DK-CVR-20699310-DF21849,,,,,,
drc-activities,DK-CVR-20699310-DF21849,,,,,,
drc-activities,DK-CVR-20699310-DF21849,,DK-CVR-20699310-DF21849,DK-CVR-20699310,21,,
drc-activities,DK-CVR-20699310-DU19527,"
        ",DK-CVR-20699310-DU19527,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DU19527,,,,,,
drc-activities,DK-CVR-20699310-DU19527,,,,,,
drc-activities,DK-CVR-20699310-DU19527,,,,,,
drc-activities,DK-CVR-20699310-DU19527,,,,,,
drc-activities,DK-CVR-20699310-DU19527,,,,,,
drc-activities,DK-CVR-20699310-DU19527,"
        ",XM-DAC-7-PPR-4000000964,XM-DAC-7,10,Netherlands Ministry of Foreign Affairs,
drc-activities,DK-CVR-20699310-DU19527,"
        ",DU52719,DK-CVR-20699310,21,Danish Refugee Council,en
drc-activities,DK-CVR-20699310-DU19527,,,,,,
drc-activities,DK-CVR-20699310-DU19527,,,,,,
drc-activities,DK-CVR-20699310-DU19527,,,,,,
drc-activities,DK-CVR-20699310-DU19527,,,,,,
drc-activities,DK-CVR-20699310-DU20658,,,,,,
drc-activities,DK-CVR-20699310-DU20658,,,,,,
drc-activities,DK-CVR-20699310-DU20658,,,,,,
drc-activities,DK-CVR-20699310-DU20658,,,,,,
drc-activities,DK-CVR-20699310-DU20658,,,,,,
drc-activities,DK-CVR-20699310-DU20658,,,,,,
drc-activities,DK-CVR-20699310-DU20658,,,,,,
drc-activities,DK-CVR-20699310-DU20658,"
        ",,DK-CVR-20699310-DU20658,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DU20658,,,,,,
drc-activities,DK-CVR-20699310-DU20658,,,,,,
drc-activities,DK-CVR-20699310-DU20658,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DU191129,,,,,,
drc-activities,DK-CVR-20699310-DU191129,,,,,,
drc-activities,DK-CVR-20699310-DU191129,,,,,,
drc-activities,DK-CVR-20699310-DU191129,"
        ",DK-CVR-20699310-DU191129,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DU191129,,,,,,
drc-activities,DK-CVR-20699310-DU191129,,,,,,
drc-activities,DK-CVR-20699310-DU191129,,,,,,
drc-activities,DK-CVR-20699310-DU191129,,,,,,
drc-activities,DK-CVR-20699310-DU191129,,,,,,
drc-activities,DK-CVR-20699310-DF20376,,,,,,
drc-activities,DK-CVR-20699310-DK19947,,,,,,
drc-activities,DK-CVR-20699310-DK19947,,,,,,
drc-activities,DK-CVR-20699310-DK19947,,,,,,
drc-activities,DK-CVR-20699310-DK19947,,,,,,
drc-activities,DK-CVR-20699310-DK19947,"
        ",DK-CVR-20699310-DK19938,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DK19947,"
        ",DK-CVR-20699310-DK19938,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DF221251,,,,,,
drc-activities,DK-CVR-20699310-DF221251,"
        ",,GB-CHC-1076235,21,BBC Media Action,
drc-activities,DK-CVR-20699310-DF221251,"
        ",GB-COH-213890-82604294,GB-COH-213890,21,Save the Children UK,
drc-activities,DK-CVR-20699310-DF221251,"
        ",,,70,Lhassa Consulting,
drc-activities,DK-CVR-20699310-DF221251,"
        ",,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DF221251,"
        ",DK-CVR-20699310-DF221251,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DF221251,"
        ",DK-CVR-20699310-DF221251,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DF221251,,,,,,
drc-activities,DK-CVR-20699310-DF221251,,,,,,
drc-activities,DK-CVR-20699310-DF221251,,,,,,
drc-activities,DK-CVR-20699310-DF221251,,,,,,
drc-activities,DK-CVR-20699310-DF221251,"
        ",DK-CVR-20699310-DF221251,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DF221251,"
        ",DK-CVR-20699310-DF221251,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DF211215,"
        ",,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DF211215,,,,,,
drc-activities,DK-CVR-20699310-DF211215,,,,,,
drc-activities,DK-CVR-20699310-DF211215,,,,,,
drc-activities,DK-CVR-20699310-DF211215,"
        ",DK-CVR-20699310-DF211215,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DU22821,"
        ",DK-CVR-20699310-DU22821,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DU22821,,,,,,
drc-activities,DK-CVR-20699310-DU22821,"
        ",DK-CVR-20699310-DU22821,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DU22821,,,,,,
drc-activities,DK-CVR-20699310-DU22821,,,,,,
drc-activities,DK-CVR-20699310-DU22821,,,,,,
drc-activities,DK-CVR-20699310-DF21532,,,,,,
drc-activities,DK-CVR-20699310-DF21532,,,,,,
drc-activities,DK-CVR-20699310-DF21532,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DF21532,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DRCRO04-19,,,,,,
drc-activities,DK-CVR-20699310-DRCRO04-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DRCRO04-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DRCRO04-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DRCRO04-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DRCRO04-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DRCRO04-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DRCRO04-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DRCRO04-19,,,,,,
drc-activities,DK-CVR-20699310-DRCRO04-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DRCRO04-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DRCRO04-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DRCRO04-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DRCRO04-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DRCRO04-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DRCRO04-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-GA22,,,,,,
drc-activities,DK-CVR-20699310-DRCCOL19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,en
drc-activities,DK-CVR-20699310-DRCCOL19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DRCCOL19,,,,,,
drc-activities,DK-CVR-20699310-DRCCOL19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,en
drc-activities,DK-CVR-20699310-DRCCOL19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,en
drc-activities,DK-CVR-20699310-DRCCOL19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,en
drc-activities,DK-CVR-20699310-DRCCOL19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,en
drc-activities,DK-CVR-20699310-DRCRO02-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,en
drc-activities,DK-CVR-20699310-DRCRO02-19,"
        ",,DK-CVR-20699310,,Danish Refugee Council,en
drc-activities,DK-CVR-20699310-DRCRO02-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,en
drc-activities,DK-CVR-20699310-DRCRO02-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,en
drc-activities,DK-CVR-20699310-DRCRO02-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,en
drc-activities,DK-CVR-20699310-DRCRO02-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DRCRO02-19,,,,,,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,en
drc-activities,DK-CVR-20699310-DRCRO02-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,
drc-activities,DK-CVR-20699310-DRCRO03-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,en
drc-activities,DK-CVR-20699310-DRCRO03-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,en
drc-activities,DK-CVR-20699310-DRCRO03-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DRCRO03-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DRCRO03-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DRCRO03-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DRCRO03-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DRCRO03-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DRCRO03-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DRCRO03-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DRCRO03-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council ,
drc-activities,DK-CVR-20699310-DRCRO03-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,en
drc-activities,DK-CVR-20699310-DRCRO03-19,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,en
